ContextType,ContextLabel,TargetModel,Dose,MeanPIER,StdPIER,NumEvalPoints,NumFitPoints,ContextRawSize
sentiment,sent_strong_negative_(p<=0.2),ALBERT,0.6000000000000001,0.16024693579064395,0.09365056593559906,100,1000,406
sentiment,sent_strong_negative_(p<=0.2),ALBERT,0.7000000000000001,0.16889741479194403,0.10058387558597248,100,1000,406
sentiment,sent_strong_negative_(p<=0.2),ALBERT,0.8,0.13938270163812982,0.11003236749537727,100,1000,406
sentiment,sent_strong_negative_(p<=0.2),ALBERT,0.9,0.14504082428323267,0.1140424258744745,100,1000,406
sentiment,sent_strong_negative_(p<=0.2),XLNet,0.0,0.08212632407682538,0.1123601477244519,100,1000,406
sentiment,sent_strong_negative_(p<=0.2),XLNet,0.1,0.09165304295593685,0.12679475516450178,100,1000,406
sentiment,sent_strong_negative_(p<=0.2),XLNet,0.2,0.10521511259447695,0.13027075204836036,100,1000,406
sentiment,sent_strong_negative_(p<=0.2),XLNet,0.30000000000000004,0.1337660940871933,0.1420225367039892,100,1000,406
sentiment,sent_strong_negative_(p<=0.2),XLNet,0.4,0.13649975085707797,0.1359282529257074,100,1000,406
sentiment,sent_strong_negative_(p<=0.2),XLNet,0.5,0.14765056222602538,0.12251081463132121,100,1000,406
sentiment,sent_strong_negative_(p<=0.2),XLNet,0.6000000000000001,0.13473608715494267,0.1203983113340698,100,1000,406
